Pt,True,X,Y,Z,X_repeated,Y_repeated,Z_repeated
Pt-1,TRUE,100,200,0,100,200,0
Pt-2,TRUE,100,300,0,100,300,0
Pt-3,TRUE,100,400,0,100,400,0
Pt-4,TRUE,100,500,0,100,500,0
Pt-5,TRUE,100,600,0,100,600,0
Pt-6,TRUE,100,700,0,100,700,0
Pt-7,TRUE,100,800,0,100,800,0
Pt-8,TRUE,100,1200,0,100,1200,0
Pt-9,TRUE,200,100,0,200,100,0
Pt-10,TRUE,200,200,0,200,200,0
Pt-11,TRUE,200,300,0,200,300,0
Pt-12,TRUE,200,400,0,200,400,0
Pt-13,TRUE,200,500,0,200,500,0
Pt-14,TRUE,200,600,0,200,600,0
Pt-15,TRUE,200,700,0,200,700,0
Pt-16,TRUE,200,800,0,200,800,0
Pt-17,TRUE,200,900,0,200,900,0
Pt-18,TRUE,200,1000,0,200,1000,0
Pt-19,TRUE,200,1100,0,200,1100,0
Pt-20,TRUE,300,100,0,300,100,0
Pt-21,TRUE,300,200,0,300,200,0
Pt-22,TRUE,300,300,0,300,300,0
Pt-23,TRUE,300,400,0,300,400,0
Pt-24,TRUE,300,500,0,300,500,0
Pt-25,TRUE,300,600,0,300,600,0
Pt-26,TRUE,300,700,0,300,700,0
Pt-27,TRUE,300,800,0,300,800,0
Pt-28,TRUE,300,900,0,300,900,0
Pt-29,TRUE,300,1000,0,300,1000,0
Pt-30,TRUE,300,1100,0,300,1100,0
Pt-31,TRUE,300,1200,0,300,1200,0
Pt-32,TRUE,400,100,0,400,100,0
Pt-33,TRUE,400,200,0,400,200,0
Pt-34,TRUE,400,300,0,400,300,0
Pt-35,TRUE,400,400,0,400,400,0
Pt-36,TRUE,400,500,0,400,500,0
Pt-37,TRUE,400,600,0,400,600,0
Pt-38,TRUE,400,700,0,400,700,0
Pt-39,TRUE,400,800,0,400,800,0
Pt-40,TRUE,400,900,0,400,900,0
Pt-41,TRUE,400,1000,0,400,1000,0
Pt-42,TRUE,400,1100,0,400,1100,0
Pt-43,TRUE,400,1200,0,400,1200,0
Pt-44,TRUE,400,1300,0,400,1300,0
Pt-45,TRUE,500,100,0,500,100,0
Pt-46,TRUE,500,200,0,500,200,0
Pt-47,TRUE,500,300,0,500,300,0
Pt-48,TRUE,500,400,0,500,400,0
Pt-49,TRUE,500,500,0,500,500,0
Pt-50,TRUE,500,600,0,500,600,0
Pt-51,TRUE,500,700,0,500,700,0
Pt-52,TRUE,500,800,0,500,800,0
Pt-53,TRUE,500,900,0,500,900,0
Pt-54,TRUE,500,1000,0,500,1000,0
Pt-55,TRUE,500,1100,0,500,1100,0
Pt-56,TRUE,500,1200,0,500,1200,0
Pt-57,TRUE,500,1300,0,500,1300,0
Pt-58,TRUE,600,100,0,600,100,0
Pt-59,TRUE,600,200,0,600,200,0
Pt-60,TRUE,600,300,0,600,300,0
Pt-61,TRUE,600,400,0,600,400,0
Pt-62,TRUE,600,500,0,600,500,0
Pt-63,TRUE,600,600,0,600,600,0
Pt-64,TRUE,600,700,0,600,700,0
Pt-65,TRUE,600,800,0,600,800,0
Pt-66,TRUE,600,900,0,600,900,0
Pt-67,TRUE,600,1000,0,600,1000,0
Pt-68,TRUE,600,1100,0,600,1100,0
Pt-69,TRUE,600,1200,0,600,1200,0
Pt-70,TRUE,600,1300,0,600,1300,0
Pt-71,TRUE,700,100,0,700,100,0
Pt-72,TRUE,700,200,0,700,200,0
Pt-73,TRUE,700,300,0,700,300,0
Pt-74,TRUE,700,400,0,700,400,0
Pt-75,TRUE,700,500,0,700,500,0
Pt-76,TRUE,700,600,0,700,600,0
Pt-77,TRUE,700,700,0,700,700,0
Pt-78,TRUE,700,800,0,700,800,0
Pt-79,TRUE,700,900,0,700,900,0
Pt-80,TRUE,700,1000,0,700,1000,0
Pt-81,TRUE,100,100,100,100,100,100
Pt-82,TRUE,100,200,100,100,200,100
Pt-83,TRUE,100,400,100,100,400,100
Pt-84,TRUE,100,500,100,100,500,100
Pt-85,TRUE,100,600,100,100,600,100
Pt-86,TRUE,100,700,100,100,700,100
Pt-87,TRUE,100,800,100,100,800,100
Pt-88,TRUE,200,100,100,200,100,100
Pt-89,TRUE,200,200,100,200,200,100
Pt-90,TRUE,200,300,100,200,300,100
Pt-91,TRUE,200,400,100,200,400,100
Pt-92,TRUE,200,500,100,200,500,100
Pt-93,TRUE,200,600,100,200,600,100
Pt-94,TRUE,200,700,100,200,700,100
Pt-95,TRUE,200,800,100,200,800,100
Pt-96,TRUE,200,900,100,200,900,100
Pt-97,TRUE,200,1000,100,200,1000,100
Pt-98,TRUE,200,1100,100,200,1100,100
Pt-99,TRUE,300,100,100,300,100,100
Pt-100,TRUE,300,200,100,300,200,100
Pt-101,TRUE,300,400,100,300,400,100
Pt-102,TRUE,300,500,100,300,500,100
Pt-103,TRUE,300,600,100,300,600,100
Pt-104,TRUE,300,700,100,300,700,100
Pt-105,TRUE,300,800,100,300,800,100
Pt-106,TRUE,300,900,100,300,900,100
Pt-107,TRUE,300,1000,100,300,1000,100
Pt-108,TRUE,300,1100,100,300,1100,100
Pt-109,TRUE,300,1200,100,300,1200,100
Pt-110,TRUE,400,100,100,400,100,100
Pt-111,TRUE,400,200,100,400,200,100
Pt-112,TRUE,400,300,100,400,300,100
Pt-113,TRUE,400,400,100,400,400,100
Pt-114,TRUE,400,500,100,400,500,100
Pt-115,TRUE,400,600,100,400,600,100
Pt-116,TRUE,400,700,100,400,700,100
Pt-117,TRUE,400,800,100,400,800,100
Pt-118,TRUE,400,900,100,400,900,100
Pt-119,TRUE,400,1000,100,400,1000,100
Pt-120,TRUE,400,1100,100,400,1100,100
Pt-121,TRUE,400,1200,100,400,1200,100
Pt-122,TRUE,400,1300,100,400,1300,100
Pt-123,TRUE,500,100,100,500,100,100
Pt-124,TRUE,500,200,100,500,200,100
Pt-125,TRUE,500,300,100,500,300,100
Pt-126,TRUE,500,400,100,500,400,100
Pt-127,TRUE,500,500,100,500,500,100
Pt-128,TRUE,500,600,100,500,600,100
Pt-129,TRUE,500,700,100,500,700,100
Pt-130,TRUE,500,800,100,500,800,100
Pt-131,TRUE,500,900,100,500,900,100
Pt-132,TRUE,500,1000,100,500,1000,100
Pt-133,TRUE,500,1100,100,500,1100,100
Pt-134,TRUE,500,1200,100,500,1200,100
Pt-135,TRUE,500,1300,100,500,1300,100
Pt-136,TRUE,600,100,100,600,100,100
Pt-137,TRUE,600,200,100,600,200,100
Pt-138,TRUE,600,300,100,600,300,100
Pt-139,TRUE,600,400,100,600,400,100
Pt-140,TRUE,600,500,100,600,500,100
Pt-141,TRUE,600,600,100,600,600,100
Pt-142,TRUE,600,700,100,600,700,100
Pt-143,TRUE,600,800,100,600,800,100
Pt-144,TRUE,600,900,100,600,900,100
Pt-145,TRUE,600,1000,100,600,1000,100
Pt-146,TRUE,600,1100,100,600,1100,100
Pt-147,TRUE,600,1200,100,600,1200,100
Pt-148,TRUE,700,100,100,700,100,100
Pt-149,TRUE,700,200,100,700,200,100
Pt-150,TRUE,700,300,100,700,300,100
Pt-151,TRUE,700,400,100,700,400,100
Pt-152,TRUE,700,500,100,700,500,100
Pt-153,TRUE,700,600,100,700,600,100
Pt-154,TRUE,700,700,100,700,700,100
Pt-155,TRUE,700,800,100,700,800,100
Pt-156,TRUE,700,900,100,700,900,100
Pt-157,TRUE,100,200,200,100,200,200
Pt-158,TRUE,100,300,200,100,300,200
Pt-159,TRUE,100,400,200,100,400,200
Pt-160,TRUE,100,500,200,100,500,200
Pt-161,TRUE,100,600,200,100,600,200
Pt-162,TRUE,100,700,200,100,700,200
Pt-163,TRUE,100,800,200,100,800,200
